Symbol,GENE_BELONG_CATEGORY,重叠数量_同源重组（HR）,重叠数量_非同源末端连接（NHEJ）,重叠数量_碱基切除修复（BER）,重叠数量_核苷酸切除修复（NER）,重叠数量_错配修复（MMR）,重叠数量_跨损伤合成（TLS）,重叠数量_直接修复（DRR）,重叠数量_损伤应答检查点（CP）,重叠数量_未分类,STANDARD_NAME
USP7,混合(NER+BER),0,0,1,8,0,0,0,0,11,"['CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_DN', 'ENK_UV_RESPONSE_KERATINOCYTE_DN', 'FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_ALKYLATION_REPAIR', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOBP_NUCLEOTIDE_EXCISION_REPAIR', 'GOBP_TELOMERE_CAPPING', 'GOBP_TELOMERE_ORGANIZATION', 'GOBP_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR', 'GOCC_CHROMOSOME', 'PULVER_FOREY_PERTURB_ACCUMULATION_LG1', 'PULVER_FOREY_PERTURB_ATTRITION_M_EG1', 'REACTOME_DNA_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP', 'WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM']"
VCP,混合(TLS+HR),1,0,0,0,0,2,0,0,13,"['CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'ENK_UV_RESPONSE_KERATINOCYTE_UP', 'FAELT_B_CLL_WITH_VH3_21_UP', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_INTERSTRAND_CROSS_LINK_REPAIR', 'GOBP_POSTREPLICATION_REPAIR', 'GOBP_PROTEIN_DNA_COVALENT_CROSS_LINKING_REPAIR', 'GOBP_SPINDLE_ORGANIZATION', 'GOBP_TRANSLESION_SYNTHESIS', 'GOCC_CHROMOSOME', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_SITE_OF_DOUBLE_STRAND_BREAK', 'KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION', 'KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2', 'REACTOME_DNA_DAMAGE_BYPASS', 'REACTOME_DNA_REPAIR', 'REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE', 'WEI_MYCN_TARGETS_WITH_E_BOX']"
XRCC6,混合(NHEJ+HR),1,6,0,0,0,0,0,0,27,"['ACEVEDO_LIVER_CANCER_UP', 'ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'BIOCARTA_TEL_PATHWAY', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_CLASSICAL_NONHOMOLOGOUS_END_JOINING', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_CHROMOSOME_TELOMERIC_REPEAT_REGION', 'GOCC_DNA_DEPENDENT_PROTEIN_KINASE_COMPLEX', 'GOCC_DNA_DEPENDENT_PROTEIN_KINASE_DNA_LIGASE_4_COMPLEX', 'GOCC_DNA_REPAIR_COMPLEX', 'GOCC_NONHOMOLOGOUS_END_JOINING_COMPLEX', 'GOCC_NUCLEOLUS', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_DNA_HELICASE_ACTIVITY', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'KAUFFMANN_DNA_REPAIR_GENES', 'KEGG_NON_HOMOLOGOUS_END_JOINING', 'MODULE_244', 'MORF_XRCC5', 'OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP', 'PULVER_FOREY_CELLCYCLE_PEAKING_S1', 'REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_DOUBLE_STRAND_BREAK_REPAIR', 'STRUCTURE_SPECIFIC_DNA_BINDING', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C5_CHON2', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'ZHAN_MULTIPLE_MYELOMA_SUBGROUPS']"
MEN1,损伤应答检查点（CP）,0,0,0,0,0,0,0,2,13,"['DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN', 'FERNANDEZ_BOUND_BY_MYC', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOCC_CHROMOSOME', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_DNA_SECONDARY_STRUCTURE_BINDING', 'GOMF_FOUR_WAY_JUNCTION_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'LOPEZ_MBD_TARGETS', 'MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2_M']"
HTATSF1,同源重组（HR）,1,0,0,0,0,0,0,0,8,"['ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_SITE_OF_DOUBLE_STRAND_BREAK', 'KAUFFMANN_DNA_REPLICATION_GENES', 'MOOTHA_HUMAN_MITODB_6_2002', 'MOOTHA_MITOCHONDRIA', 'PHONG_TNF_RESPONSE_NOT_VIA_P38', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP']"
TOP2A,混合(HR+NER+BER),3,0,1,3,0,0,0,0,50,"['ABRAMSON_INTERACT_WITH_AIRE', 'BIOCARTA_DNAFRAGMENT_PATHWAY', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'CHICAS_RB1_TARGETS_GROWING', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_DN', 'DAZARD_RESPONSE_TO_UV_NHEK_DN', 'DAZARD_UV_RESPONSE_CLUSTER_G6', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'DORN_ADENOVIRUS_INFECTION_12HR_DN', 'DORN_ADENOVIRUS_INFECTION_24HR_DN', 'DORN_ADENOVIRUS_INFECTION_32HR_UP', 'DORN_ADENOVIRUS_INFECTION_48HR_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_DN', 'FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP', 'GAL_LEUKEMIC_STEM_CELL_DN', 'GENTILE_UV_RESPONSE_CLUSTER_D8', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_CONFORMATION_CHANGE', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_TOPOLOGICAL_CHANGE', 'GOBP_HOMOLOGOUS_RECOMBINATION', 'GOBP_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE', 'GOCC_CHROMOSOME', 'GOCC_CHROMOSOME_CENTROMERIC_REGION', 'GOCC_CONDENSED_CHROMOSOME', 'GOCC_NUCLEOLUS', 'GOMF_DNA_TOPOISOMERASE_ACTIVITY', 'HADDAD_B_LYMPHOCYTE_PROGENITOR', 'HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP', 'HELLER_HDAC_TARGETS_UP', 'HELLER_SILENCED_BY_METHYLATION_UP', 'HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2', 'HORIUCHI_WTAP_TARGETS_DN', 'KAUFFMANN_DNA_REPAIR_GENES', 'KAUFFMANN_MELANOMA_RELAPSE_UP', 'LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP', 'LOPEZ_MBD_TARGETS', 'MACLACHLAN_BRCA1_TARGETS_UP', 'MODULE_158', 'MODULE_244', 'MODULE_403', 'PATIL_LIVER_CANCER', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2', 'REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS', 'REN_BOUND_BY_E2F', 'RHODES_CANCER_META_SIGNATURE', 'RHODES_UNDIFFERENTIATED_CANCER', 'ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER', 'SCIBETTA_KDM5B_TARGETS_DN', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'TANG_SENESCENCE_TP53_TARGETS_DN', 'WHITFIELD_CELL_CYCLE_G2', 'WHITFIELD_CELL_CYCLE_LITERATURE', 'WHITFIELD_CELL_CYCLE_S', 'WINNEPENNINCKX_MELANOMA_METASTASIS_UP', 'ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR']"
XRCC1,混合(NER+BER+HR+NHEJ),1,1,4,5,0,0,0,0,18,"['ACEVEDO_LIVER_CANCER_UP', 'CORONEL_RFX7_DIRECT_TARGETS_UP', 'ENK_UV_RESPONSE_EPIDERMIS_UP', 'GOBP_BASE_EXCISION_REPAIR', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_MITOTIC_RECOMBINATION', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_SINGLE_STRAND_BREAK_REPAIR', 'GOBP_TELOMERE_CAPPING', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_NUCLEOLUS', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOMF_OXIDIZED_DNA_BINDING', 'HEIDENBLAD_AMPLICON_8Q24_DN', 'KAUFFMANN_DNA_REPAIR_GENES', 'KEGG_BASE_EXCISION_REPAIR', 'LOPEZ_MBD_TARGETS', 'MURAKAMI_UV_RESPONSE_6HR_UP', 'PULVER_FOREY_CELLCYCLE_PEAKING_S2', 'REACTOME_BASE_EXCISION_REPAIR', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'WP_BASE_EXCISION_REPAIR', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM']"
ERCC3,核苷酸切除修复（NER）,0,0,0,8,0,0,0,0,23,"['GEORGES_CELL_CYCLE_MIR192_TARGETS', 'GEORGES_TARGETS_OF_MIR192_AND_MIR215', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_CONFORMATION_CHANGE', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DNA_TOPOLOGICAL_CHANGE', 'GOBP_NUCLEOTIDE_EXCISION_REPAIR', 'GOBP_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX', 'GOCC_TRANSCRIPTION_PREINITIATION_COMPLEX', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_3_5_DNA_HELICASE_ACTIVITY', 'GOMF_DNA_HELICASE_ACTIVITY', 'HALLMARK_DNA_REPAIR', 'HP_ABNORMALITY_OF_DNA_REPAIR', 'HP_DEFECTIVE_DNA_REPAIR_AFTER_ULTRAVIOLET_RADIATION_DAMAGE', 'KAUFFMANN_DNA_REPAIR_GENES', 'KEGG_NUCLEOTIDE_EXCISION_REPAIR', 'MODULE_244', 'MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_25', 'PULVER_FOREY_CELLCYCLE_PEAKING_G1_S', 'PULVER_FOREY_PERTURB_ACCUMULATION_LG1', 'REACTOME_DNA_REPAIR', 'REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES', 'REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP', 'TIEN_INTESTINE_PROBIOTICS_2HR_DN', 'VANHARANTA_UTERINE_FIBROID_UP', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_NUCLEOTIDE_EXCISION_REPAIR', 'WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM']"
TAF1,核苷酸切除修复（NER）,0,0,0,2,0,0,0,0,28,"['BIOCARTA_P53HYPOXIA_PATHWAY', 'G1_PHASE', 'G1_PHASE_OF_MITOTIC_CELL_CYCLE', 'GCM_ERCC4', 'GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_MRNA_TRANSCRIPTION', 'GOBP_RNA_POLYMERASE_II_PREINITIATION_COMPLEX_ASSEMBLY', 'GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_I', 'GOBP_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY', 'GOCC_CHROMOSOME', 'GOCC_NUCLEOLUS', 'GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY', 'GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'GSE8835_CD4_VS_CD8_TCELL_UP', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S1', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S2', 'PULVER_FOREY_CELLCYCLE_PEAKING_S2', 'PULVER_FOREY_PERTURB_ACCUMULATION_LG1', 'PULVER_FOREY_PERTURB_ATTRITION_G1_S', 'WANG_CLIM2_TARGETS_UP']"
SFPQ,混合(BER+HR+NHEJ),1,1,2,0,0,0,0,0,28,"['CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN', 'GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN', 'GNF2_APEX1', 'GNF2_XRCC5', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOCC_CHROMOSOME', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'HELLER_HDAC_TARGETS_DN', 'LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN', 'LU_AGING_BRAIN_DN', 'MARTENS_TRETINOIN_RESPONSE_DN', 'NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN', 'NATSUME_RESPONSE_TO_INTERFERON_BETA_UP', 'PULVER_FOREY_PERTURB_ACCUMULATION_LG1', 'PULVER_FOREY_PERTURB_ATTRITION_G2_M', 'PULVER_FOREY_PERTURB_ATTRITION_M_EG1', 'RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN', 'RUTELLA_RESPONSE_TO_HGF_DN', 'RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN', 'SU_HO_CONV_CENT_CHONDROSARCOMA_STROMAL_C1_OSSIFICATION_STROMAL_CELL', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP', 'WANG_CLIM2_TARGETS_UP', 'WANG_LMO4_TARGETS_UP', 'WEI_MYCN_TARGETS_WITH_E_BOX', 'WHITFIELD_CELL_CYCLE_G2_M']"
MTREX,混合(NER+NHEJ),0,1,0,2,0,0,0,0,6,"['CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN', 'DACOSTA_UV_RESPONSE_VIA_ERCC3_DN', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS', 'GOCC_NUCLEOLUS', 'MORF_DNMT1', 'MORF_XRCC5', 'PULVER_FOREY_PERTURB_ACCUMULATION_LG1', 'PULVER_FOREY_PERTURB_ATTRITION_S']"
LIG3,混合(NER+BER+HR+NHEJ),2,1,4,5,0,0,0,0,22,"['GOBP_BASE_EXCISION_REPAIR', 'GOBP_BASE_EXCISION_REPAIR_GAP_FILLING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DNA_REPLICATION', 'GOBP_DNA_STRAND_ELONGATION', 'GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION', 'GOBP_DNA_TEMPLATED_DNA_REPLICATION', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_ALTERNATIVE_NONHOMOLOGOUS_END_JOINING', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_MITOCHONDRIAL_DNA_REPAIR', 'GOBP_MITOCHONDRIAL_DNA_REPLICATION', 'GOBP_NEGATIVE_REGULATION_OF_DNA_REPLICATION', 'GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_REGULATION_OF_DNA_REPLICATION', 'GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION', 'GOBP_REGULATION_OF_MITOCHONDRIAL_DNA_METABOLIC_PROCESS', 'GSE8835_CD4_VS_CD8_TCELL_UP', 'HP_MITOCHONDRIAL_DEPLETION', 'HP_MULTIPLE_MITOCHONDRIAL_DNA_DELETIONS', 'KAUFFMANN_DNA_REPAIR_GENES', 'KAUFFMANN_DNA_REPLICATION_GENES', 'KEGG_BASE_EXCISION_REPAIR', 'PATIL_LIVER_CANCER', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2', 'REACTOME_BASE_EXCISION_REPAIR', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_DNA_REPLICATION', 'REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_STRAND_ASYNCHRONOUS_MITOCHONDRIAL_DNA_REPLICATION', 'REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER', 'WP_BASE_EXCISION_REPAIR', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM']"
HMGA2,混合(NHEJ+BER+NER),0,1,1,1,0,0,0,0,42,"['CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN', 'CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN', 'CHICAS_RB1_TARGETS_SENESCENT', 'DAZARD_RESPONSE_TO_UV_NHEK_DN', 'DAZARD_RESPONSE_TO_UV_SCC_DN', 'DAZARD_UV_RESPONSE_CLUSTER_G6', 'GCM_ERCC4', 'GENTILE_UV_HIGH_DOSE_DN', 'GENTILE_UV_LOW_DOSE_DN', 'GENTILE_UV_RESPONSE_CLUSTER_D4', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_BASE_EXCISION_REPAIR', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING', 'GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE', 'GOBP_REGULATION_OF_DNA_BINDING', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE', 'GOCC_CHROMOSOME', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOMF_CHROMATIN_DNA_BINDING', 'GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_DNA_APURINIC_OR_APYRIMIDINIC_SITE_ENDONUCLEASE_ACTIVITY', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_DNA_SECONDARY_STRUCTURE_BINDING', 'GOMF_MINOR_GROOVE_OF_ADENINE_THYMINE_RICH_DNA_BINDING', 'GOMF_NUCLEOSOMAL_DNA_BINDING', 'GOMF_NUCLEOSOME_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_UP', 'HORIUCHI_WTAP_TARGETS_DN', 'MARTINEZ_RESPONSE_TO_TRABECTEDIN', 'MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_21', 'NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP', 'REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE', 'TSAI_DNAJB4_TARGETS_DN']"
